type,state,source_id,number,opened_at,category,short_description,ci
,Processed,ZWC-06647282,EXP00000229,2023-06-26 23:30:00,Services,Automatically generated expense line for creation of Services asset,Cloud Hosting Server
,Pending,LIV-46048256,EXP00000230,2023-05-12 01:06:00,Assets,Dell Latitude 3410 Laptop Hardware Asset,Dell Latitude 3410
,Processed,FQX-04961353,EXP00000231,2023-10-06 02:31:00,Assets,Newly acquired IT asset for software department,Dell Latitude 7420
,Processed,LNS-34407183,EXP00000232,2024-01-31 02:49:00,Assets,Purchase and registration of HP Printer,HP LaserJet Pro M402dn
,Processed,,EXP00000233,2023-06-27 19:32:00,Travel,Travel equipment purchase,Dell Latitude 7420 Travel Laptop
,Pending,REN-25421667,EXP00000234,2023-03-26 14:45:00,Services,Provision of cloud storage service,Amazon Web Services S3
,Pending,XXD-13383451,EXP00000235,2023-06-25 00:00:00,Services,Cloud service infrastructure configuration item,AWS EC2 Server Instance
,Pending,PEW-65976579,EXP00000236,2023-03-24 10:05:00,Assets,Automated hardware asset creation for facility,Dell OptiPlex 7080 Desktop
,Pending,,EXP00000237,2023-07-28 06:38:00,Miscellaneous,Automatically generated entry for miscellaneous asset,Office Chair Deluxe Model
,Processed,,EXP00000238,2024-03-08 00:41:00,Miscellaneous,Automatically generated expense line for creation of miscellaneous asset,Miscellaneous Device 193
,Processed,,EXP00000239,2023-10-31 07:52:00,Travel,Automatically generated expense line for creation of travel-related asset,Car Rental Service
,Pending,,EXP00000240,2024-01-11 20:02:00,Miscellaneous,Miscellaneous service item created for asset management,Miscellaneous Equipment
,Pending,BYB-01171246,EXP00000241,2024-03-18 19:08:00,Services,Service related hardware asset,Web Server Service
,Processed,KPJ-41210639,EXP00000242,2023-04-01 20:47:00,Assets,Purchase of new hardware asset,Dell Latitude 7410
,Processed,IGZ-02201789,EXP00000243,2024-01-31 01:57:00,Services,Configuration set for application service,App Service Server 1
,Processed,CTT-43486345,EXP00000244,2023-12-10 22:20:00,Assets,Allocation of new hardware asset,Dell Latitude 7410
,Processed,GBY-27242642,EXP00000245,2023-11-17 07:00:00,Assets,Asset Discovery for newly procured hardware,Lenovo Thinkpad X1 Carbon
,Submitted,,EXP00000246,2023-10-10 17:16:00,Miscellaneous,Miscellaneous hardware asset,Dell Inspiron 14
,Processed,,EXP00000247,2024-03-08 10:46:00,Travel,Travel related hardware asset,Dell Latitude 5400
,Pending,,EXP00000248,2024-01-10 16:05:00,Miscellaneous,Miscellaneous asset entry,Digital SLR Camera
,Processed,SKX-79316669,EXP00000249,2023-08-28 16:22:00,Assets,Automated asset registration for new hardware,Dell Latitude 5450
,Processed,VBP-55418614,EXP00000250,2024-03-19 02:51:00,Services,Service related hardware asset,Managed Cloud Service
,Processed,KLU-94493815,EXP00000251,2023-06-04 01:19:00,Assets,Lenovo Thinkpad Laptop Asset Registered,Lenovo Thinkpad T480
,Submitted,,EXP00000252,2023-10-08 14:33:00,Travel,Automatically generated expense line for creation of travel asset,Corporate Eurostar Ticket
,Processed,,EXP00000253,2023-08-17 03:19:00,Miscellaneous,Miscellaneous asset added to the inventory,Data Server DS5000
,Submitted,,EXP00000254,2023-03-30 08:53:00,Travel,Travel related asset,Company provided travel package
,Declined,,EXP00000255,2023-09-04 16:10:00,Miscellaneous,Miscellaneous hardware asset registered,GoPro HERO7 Black
,Processed,AST-60848404,EXP00000256,2023-12-14 23:54:00,Assets,Dell Latitude 7390 Laptop added to hardware assets,Dell Latitude 7390
,Submitted,TAK-72856446,EXP00000257,2024-03-15 19:34:00,Services,Automatically generated service for creation of asset,Cloud Service Instance
,Declined,WEM-52210252,EXP00000258,2024-01-01 00:52:00,Services,Automatically generated service asset,Database Service Oracle 12c
,Processed,,EXP00000259,2024-03-09 13:55:00,Miscellaneous,Miscellaneous hardware asset addition,Dell Ultrasharp Monitor 27
,Declined,HJO-89914684,EXP00000260,2023-09-30 23:14:00,Assets,Procurement of new hardware asset,Dell Latitude 7410
,Processed,,EXP00000261,2024-02-12 15:19:00,Miscellaneous,Register of newly acquired Miscellaneous asset,Office chair 3000
,Processed,EDZ-83366856,EXP00000262,2023-07-22 04:24:00,Assets,Automatically generated asset line for creation of hardware,Dell Latitude 7420
,Processed,,EXP00000263,2023-11-09 11:46:00,Travel,Travel equipment asset added,Global Positioning System
,Processed,GBU-57885028,EXP00000264,2024-02-08 05:07:00,Assets,Acquired new hardware for IT department,Dell OptiPlex 3070
,Processed,WAX-45187132,EXP00000265,2023-11-08 19:11:00,Assets,Automated asset registration for newly acquired hardware,Dell Latitude 7420
,Processed,NOF-32133706,EXP00000266,2023-02-04 05:11:00,Assets,Procurement of new office hardware,Dell Latitude 7400 Laptop
,Processed,,EXP00000267,2023-09-12 03:05:00,Miscellaneous,Miscellaneous hardware asset entry,Dell OptiPlex Desktop
,Declined,,EXP00000268,2023-09-13 21:47:00,Miscellaneous,Asset information for miscellaneous device,HP OfficeJet 6790
,Processed,CWU-18714073,EXP00000269,2023-05-17 03:30:00,Services,Service related asset,Microsoft Office 365 Subscription
,Declined,DCZ-63839980,EXP00000270,2023-08-29 15:32:00,Assets,IT hardware assets register update,Dell Inspiron 3580 Laptop
,Processed,ANQ-34472257,EXP00000271,2023-05-16 04:00:00,Assets,Automated asset creation entry for Hardware,Dell Latitude 7490
,Submitted,EFW-76708126,EXP00000272,2023-09-23 06:29:00,Services,Automatically generated expense line for creation of Service-related asset,Cloud Service Azure
,Pending,GRO-62910678,EXP00000273,2023-06-21 14:08:00,Assets,Dell Desktop computer added to asset list,Dell Optiplex 7090
,Processed,,EXP00000274,2024-01-17 05:14:00,Travel,Travel-Related Asset Registration,Travel Comfort Kit
,Processed,,EXP00000275,2023-12-15 23:47:00,Travel,Travel expense for laptop hardware asset,Dell Latitude 7420
,Processed,NIC-01878094,EXP00000276,2023-11-08 18:28:00,Assets,Entry for asset procurement,Dell Inspiron 15
,Processed,EEG-64534180,EXP00000277,2023-06-21 15:44:00,Assets,Dell Latitude E7470 asset registration,Dell Latitude E7470-123456
,Submitted,,EXP00000278,2024-02-09 03:09:00,Travel,Travel related asset creation,High Capacity Portable Charger
,Processed,MBC-73498472,EXP00000279,2023-09-09 09:23:00,Assets,Newly procured infrastructure asset,Dell Optiplex 7090
,Submitted,,EXP00000280,2024-04-11 07:13:00,Miscellaneous,New Miscellaneous Asset Creation,Brother HL-L2380DW Printer
,Processed,,EXP00000281,2024-04-19 21:57:00,Travel,Expenses for travel related equipment provision,Travel kit
,Submitted,,EXP00000282,2023-03-02 14:49:00,Travel,Travel luggage tracking device,GPS Tracker 10S
,Processed,KST-29260082,EXP00000283,2023-09-27 10:00:00,Assets,Acquisition and allocation of new desktop workstation,Dell Optiplex 780 Desktop
,Processed,VCP-56969228,EXP00000284,2023-12-12 23:43:00,Services,Delete or retreive service layer,ServiceStack Server
,Processed,,EXP00000285,2023-02-09 14:21:00,Travel,Automatically generated expense line for creation of travel asset,Travel Booking System
,Submitted,,EXP00000286,2023-09-30 00:09:00,Miscellaneous,Inventory Addition of Miscellaneous Item,Barcode Scanner BS7852
,Processed,,EXP00000287,2023-05-13 02:30:00,Travel,Travel expenses for configuration of asset,Travel Gear Pro
,Processed,,EXP00000288,2023-03-07 22:29:00,Miscellaneous,Automatically generated Miscellaneous asset,USB Stick 64GB
,Pending,,EXP00000289,2024-04-17 15:42:00,Travel,Travel equipment asset registration,Travel suitcase 20
,Declined,,EXP00000290,2024-04-03 17:29:00,Miscellaneous,Hardware asset for Miscellaneous category,Canon Printer MX320
,Processed,,EXP00000291,2023-03-05 20:37:00,Travel,Automatically generated asset for travel department,Travel Case Pro
,Processed,UUU-47576070,EXP00000292,2023-07-12 14:37:00,Assets,Asset creation entry - Dell Latitude Laptop,Dell Latitude E7470 Laptop
,Processed,VCD-89774522,EXP00000293,2023-06-25 18:03:00,Services,Newly added service asset,Web Hosting Service
,Processed,YIW-16374562,EXP00000294,2023-02-02 05:55:00,Assets,Asset registration for company desktop,Dell Optiplex 3070
,Submitted,HVG-81309155,EXP00000295,2023-04-07 10:40:00,Services,Automatically generated service line for creation of asset,Database Server Cluster A
,Pending,,EXP00000296,2023-02-08 01:48:00,Travel,Travel expense line for asset management,Concur Travel System
,Pending,SQI-59425763,EXP00000297,2024-04-02 19:40:00,Assets,Addition of new asset in inventory,Dell Inspiron 7501
,Pending,QMA-75667221,EXP00000298,2023-04-04 14:53:00,Assets,Asset registered for Dell Latitude laptop,Dell Latitude 7480
,Processed,WQH-62763393,EXP00000299,2024-04-25 04:19:00,Assets,Company assigned workstation asset,Dell Precision 5520
,Processed,,EXP00000300,2024-02-26 14:20:00,Travel,Expense incurred for Travel category Asset,Travel Equipment ID: 4587
,Pending,YFT-16524859,EXP00000301,2023-02-06 03:20:00,Assets,Automated system log for new hardware asset,Dell Inspiron 14
,Processed,LOO-52441584,EXP00000302,2023-04-04 21:53:00,Services,Managed Service Software Asset,Zoho CRM Enterprise Edition
,Processed,,EXP00000303,2023-05-03 14:21:00,Travel,Automatically generated expense line for travel related asset,Commercial Airline Ticket
,Processed,,EXP00000304,2024-03-18 12:25:00,Miscellaneous,Procurement of miscellaneous hardware asset,GoPro HERO9
,Processed,XNM-28531258,EXP00000305,2023-05-21 13:19:00,Assets,Newly procured Dell Latitude laptop,Dell Latitude 5520
,Processed,JAY-22157577,EXP00000306,2023-08-05 05:30:00,Services,Asset registered for provision of services,Web Server Dell PowerEdge R740
,Processed,,EXP00000307,2023-07-27 03:52:00,Miscellaneous,Miscellaneous Hardware Asset Created,Dell OptiPlex 7050
,Declined,,EXP00000308,2024-01-02 23:17:00,Miscellaneous,Miscellaneous hardware assets entry,Desktop PC Dell Optiplex 3080
,Processed,ZJO-61168338,EXP00000309,2023-10-30 19:52:00,Services,Configuration for provisioned service,Web Server Instance
,Processed,,EXP00000310,2024-03-21 06:03:00,Miscellaneous,Miscellaneous hardware asset added,Wireless Keyboard model K180
,Submitted,,EXP00000311,2023-12-10 18:56:00,Travel,Travel related expense for creation of asset,Travel Pro Luggage Bag
,Processed,HFM-79494954,EXP00000312,2023-04-29 15:55:00,Assets,Asset creation for new hardware,Dell Latitude 7480
,Processed,EJQ-07714944,EXP00000313,2024-02-08 01:57:00,Assets,Automated creation of hardware asset,Dell Latitude 5400 Laptop
,Processed,SKR-15407723,EXP00000314,2024-04-19 04:55:00,Assets,Dell Inspiron 3000 added to Assets,Dell Inspiron 15 3000
,Processed,,EXP00000315,2023-12-24 13:50:00,Travel,Travel accessory asset registration,Travel Adapter Plug
,Processed,NUG-92345039,EXP00000316,2023-10-16 07:01:00,Assets,Automated log for new Assets entry,Dell Latitude 5480
,Processed,GKE-08550339,EXP00000317,2023-05-22 23:19:00,Assets,Regularly updated asset line for computer hardware,Dell Latitude 7490
,Processed,,EXP00000318,2024-03-05 14:54:00,Travel,Travel-related asset for mobile connectivity,Portable Wi-Fi Hotspot Device
,Processed,NEQ-81450898,EXP00000319,2023-06-18 05:25:00,Services,Automatically generated service asset creation,Infrastructure Services
,Processed,XNR-43601678,EXP00000320,2023-07-09 21:33:00,Services,Creation of new service asset,WebServer Service 01
,Submitted,,EXP00000321,2023-12-14 12:39:00,Travel,Travel related hardware acquisition,Dell XPS 13 Travel Laptop
,Processed,,EXP00000322,2024-04-19 11:41:00,Travel,Travel expenses incurred for updating asset,Travel Expense 12
,Pending,,EXP00000323,2023-08-07 04:19:00,Miscellaneous,Purchase of miscellaneous hardware asset,Office Ergonomic Chair
,Processed,,EXP00000324,2023-05-28 15:34:00,Travel,Automatically generated expense line for creation of travel equipment,Samsonite suitcase
,Processed,,EXP00000325,2023-03-11 07:38:00,Miscellaneous,Advanced hardware asset added with configuration item,Miscellaneous Equipment - Desktop Printer
,Processed,MAL-45871711,EXP00000326,2023-12-30 15:03:00,Services,Automated asset entry for service machine,Linux Server Instance 212
,Pending,MFZ-26354753,EXP00000327,2023-03-25 17:50:00,Services,Configuration services for newly procured hardware,Cisco Firewall Services
,Pending,,EXP00000328,2023-04-15 01:06:00,Miscellaneous,Miscellaneous asset creation for record keeping,Miscellaneous-Asset-001
,Processed,XUB-88444584,EXP00000329,2023-03-12 20:57:00,Services,Service hardware configuration for asset,Enterprise Service Server 3.1
,Processed,BFE-34010296,EXP00000330,2023-09-11 08:46:00,Services,Automatically generated service asset,Cloud Networking Service
,Processed,NVI-30559741,EXP00000331,2024-02-29 06:29:00,Services,Automatically generated service record for new asset,Web Hosting Service
,Processed,REN-82675164,EXP00000332,2023-08-21 20:56:00,Services,Provision of cloud storage service,AWS S3 Bucket Service
,Submitted,EDD-07040901,EXP00000333,2023-02-25 06:55:00,Assets,Dell Latitude 7490 Laptop,Asset tag: LAT7490-6589
,Processed,HFU-21805191,EXP00000334,2024-04-26 02:53:00,Services,Allocation of new cloud service for data handling,AWS Cloud Service
,Processed,KBA-85690500,EXP00000335,2024-02-08 17:13:00,Assets,Deployed asset for office use,Dell Precision 3550
,Processed,TIN-40383138,EXP00000336,2023-03-28 21:10:00,Services,Automated record for Services category,Managed Database Service
,Processed,AAL-19547827,EXP00000337,2023-08-05 02:18:00,Assets,Routine maintenance of asset,Dell Latitude 7490
,Declined,,EXP00000338,2023-05-30 21:20:00,Miscellaneous,Generated asset for Miscellaneous hardware,Desktop Dell Optiplex 7070
,Submitted,,EXP00000339,2024-02-29 17:39:00,Miscellaneous,Miscellaneous hardware asset addition,Dell OptiPlex 3070
,Submitted,PYQ-94140962,EXP00000340,2023-08-16 21:15:00,Services,Implementation of new cloud service,Amazon Web Services (AWS)
,Processed,MVX-76124298,EXP00000341,2023-10-01 08:38:00,Services,Installation of new cloud service,AWS EC2 Instance
,Processed,WRV-41520489,EXP00000342,2023-09-07 05:47:00,Assets,Corporate Desktop Computer Asset,Dell Optiplex 7020
,Submitted,VPQ-94198405,EXP00000343,2023-11-19 22:02:00,Assets,Hardware asset Dell Inspiron 15 added,Dell_Inspiron_15
,Pending,DDB-60080727,EXP00000344,2024-03-01 19:56:00,Services,Automatically generated service asset,Cloud Data Center Services
,Processed,EES-83115092,EXP00000345,2023-12-07 13:48:00,Services,Provision of Cloud Storage Service,Google Drive Unlimited
,Processed,QUP-90049440,EXP00000346,2023-02-17 18:56:00,Services,Assigned Service for maintenance updates,Cloud Server Services
,Declined,URF-23761333,EXP00000347,2023-03-02 15:40:00,Services,Provision of Business Application Services,ServiceNow Cloud Platform
,Processed,,EXP00000348,2023-10-13 21:25:00,Miscellaneous,Miscellaneous category hardware asset creation,HP EliteBook 840 G6
,Processed,,EXP00000349,2023-11-08 00:34:00,Travel,Configured travel equipment asset,Travel Laptop Model X
,Processed,,EXP00000350,2023-06-16 06:16:00,Miscellaneous,Acquisition of new miscellaneous office hardware assets,Standing Desk
,Processed,KTC-17651202,EXP00000351,2023-04-14 05:41:00,Assets,Automatically generated asset entry for hardware acquisition,Dell Latitude 7410
,Processed,,EXP00000352,2024-01-26 17:23:00,Miscellaneous,Hardware asset generated for Miscellaneous category,Dell Inspiron 15 3000
,Processed,YYN-47714430,EXP00000353,2023-10-04 13:06:00,Assets,Automatically generated asset line for creation of hardware,HP EliteBook 840 G5
,Pending,JJZ-66224524,EXP00000354,2023-12-04 18:36:00,Services,Automatically generated asset for new service,Enterprise Software Service
,Declined,,EXP00000355,2024-01-14 04:59:00,Miscellaneous,Generated description for miscellaneous asset,Miscellaneous Item 123
,Processed,PYB-19160793,EXP00000356,2024-03-19 11:02:00,Assets,Asset registration for newly procured hardware,Dell Latitude 7420
,Pending,,EXP00000357,2023-05-20 02:30:00,Travel,Travel-related configuration for asset deployment,Travel Service Package
,Pending,,EXP00000358,2023-11-23 02:34:00,Miscellaneous,Miscellaneous category asset registered,Polycom SoundStation2
,Processed,MPH-94867737,EXP00000359,2023-07-29 15:16:00,Assets,Asset creation for new office workstation,Dell OptiPlex 3050 MT
,Processed,XWB-80491659,EXP00000360,2023-12-22 05:09:00,Assets,Automated entry for newly acquired asset,Dell Latitude 3500
,Pending,GCN-31620361,EXP00000361,2023-12-30 15:59:00,Services,Provision of cloud-based service asset,AWS EC2 Instance
,Declined,MVJ-30904597,EXP00000362,2023-11-10 13:13:00,Services,Service asset register entry,Cloud servers
,Submitted,PEU-16704133,EXP00000363,2023-11-25 12:34:00,Services,Creation of new service asset,Web Server Service
,Processed,WVI-76395602,EXP00000364,2023-07-06 07:23:00,Services,Provision of IT services for asset management,Cloud Services
,Submitted,,EXP00000365,2023-11-04 04:54:00,Miscellaneous,Purchase of miscellaneous office hardware,Dell Monitor 34 inch
,Processed,,EXP00000366,2023-04-10 23:58:00,Miscellaneous,Auto-generated line for Miscellaneous asset,Miscellaneous Item 123
,Processed,,EXP00000367,2023-03-02 05:27:00,Travel,Expense for business travel equipment,Samsonite Briefcase
,Processed,GYP-70765641,EXP00000368,2023-08-21 21:00:00,Assets,Hardware asset assignment for new employee,Dell Latitude 7420 laptop
,Processed,,EXP00000369,2024-01-20 19:02:00,Travel,Automatically generated expense line for creation of travel asset,Airline Tickets
,Processed,,EXP00000370,2023-10-04 07:09:00,Travel,Automatically generated expense line for travel assets,Company-issued travel suitcase
,Submitted,ZDF-89657572,EXP00000371,2023-09-05 21:25:00,Assets,Asset registration for new server,Dell PowerEdge R740
,Pending,LYX-73169097,EXP00000372,2023-03-23 06:42:00,Assets,Workstation Dell OptiPlex 7080 MT,DellOptiPlex7080
,Pending,,EXP00000373,2023-09-08 01:35:00,Travel,Travel related hardware asset,Portable GPS Device
,Processed,,EXP00000374,2024-03-11 08:49:00,Miscellaneous,Automatically generated entry for creation of miscellaneous asset,Office Chair Model X
,Processed,,EXP00000375,2023-06-24 08:49:00,Travel,Travel related hardware asset,Portable WiFi Hotspot Device
,Processed,APE-81521594,EXP00000376,2024-02-07 08:13:00,Services,Services related automatic expense line for new asset,Virtual Private Server
,Processed,PPJ-81603848,EXP00000377,2023-09-20 21:58:00,Assets,Asset registration for newly procured hardware,HP EliteBook 840 G8
,Processed,QKZ-07059841,EXP00000378,2024-01-08 21:56:00,Services,Configuration of Services asset,Database Server DS-200
,Processed,,EXP00000379,2023-04-16 15:04:00,Travel,Travel related hardware asset generated,Travel Laptop Lenovo ThinkPad
,Pending,,EXP00000380,2023-10-05 20:36:00,Travel,Automatically generated expense line for creation of travel asset,Portable GPS Navigator
,Processed,,EXP00000381,2023-12-07 09:21:00,Travel,Travel equipment asset,Portable GPS Navigator
,Pending,,EXP00000382,2023-11-18 13:39:00,Travel,Travel related asset creation,Travel Equipment Item 01
,Submitted,,EXP00000383,2023-10-16 15:23:00,Miscellaneous,Miscellaneous Hardware,External Hard Drive
,Processed,,EXP00000384,2023-12-18 10:41:00,Miscellaneous,Created asset for Miscellaneous use,Dell OptiPlex 7050
,Submitted,,EXP00000385,2023-09-25 02:05:00,Travel,Automatically generated expense line for procurement of travel equipment,Travel Bag Luggage
,Processed,PUF-29866869,EXP00000386,2024-01-14 19:29:00,Assets,Generated asset for IT department,Dell Inspiron 15
,Processed,NII-70461634,EXP00000387,2024-02-12 18:37:00,Services,Asset created for service equipment,Web Server 12
,Declined,MBZ-73475933,EXP00000388,2024-01-11 13:38:00,Services,Configuration of new service assets,Microsoft Office 365 Services
,Processed,,EXP00000389,2023-02-25 04:26:00,Travel,Travel related hardware asset,Lenovo ThinkPad X1 Carbon
,Submitted,MEG-80667715,EXP00000390,2024-03-25 13:01:00,Assets,Procurement of New Hardware Asset,Dell Latitude 7490
,Submitted,QOC-31761892,EXP00000391,2023-06-06 15:22:00,Services,Creation of new service asset,Managed Web Hosting Service
,Processed,GHL-11480010,EXP00000392,2024-04-01 20:55:00,Services,Provision of IT Services,ServiceNow IT Service Management
,Processed,JVN-13346159,EXP00000393,2023-08-02 10:02:00,Services,Service related asset generation,Cloud Service AWS
,Declined,SBS-05199329,EXP00000394,2023-04-13 12:41:00,Services,Automatically created asset for service management,Cloud Server Service
,Processed,CXR-49605569,EXP00000395,2023-03-10 12:29:00,Assets,Newly registered hardware asset,Dell Latitude 7490
,Processed,,EXP00000396,2023-05-29 05:05:00,Miscellaneous,Miscellaneous hardware component for network optimization,Network Booster 600
,Processed,GLT-87204861,EXP00000397,2023-06-06 04:02:00,Services,Automatically generated service line for creation of asset,Cloud Hosting Service
,Processed,,EXP00000398,2023-02-04 17:49:00,Travel,Travel equipment asset generated,Corporate Travel Laptop Model Z
,Processed,,EXP00000399,2023-08-14 18:50:00,Miscellaneous,New asset registration for miscellaneous equipment,Miscellaneous Item 1345
,Pending,YSS-86284975,EXP00000400,2023-05-21 01:58:00,Assets,Automated addition of new hardware asset,Dell OptiPlex 3070 Desktop
,Submitted,ISC-62764877,EXP00000401,2023-05-01 22:10:00,Assets,Newly allocated Dell Alienware for Developer,Dell Alienware 17 R5
,Processed,,EXP00000402,2024-01-16 16:50:00,Miscellaneous,Miscellaneous hardware asset creation,Cisco Router XYZ100
,Processed,XAL-33496422,EXP00000403,2024-02-21 10:50:00,Assets,Automatically generated asset line for creation of hardware,Dell Latitude 3410
,Processed,,EXP00000404,2024-01-16 12:09:00,Miscellaneous,Acquisition of a miscellaneous item,Random Access Memory (RAM) Card
,Processed,YNL-14066661,EXP00000405,2024-03-17 08:51:00,Assets,Asset management and tracking hardware,Asset Tag Scanner
,Processed,,EXP00000406,2023-10-11 03:57:00,Miscellaneous,Auto-generated asset for Miscellaneous type,Asus ZenBook Pro 14
,Processed,QNO-14379845,EXP00000407,2023-02-20 02:06:00,Services,Software installation service for newly procured asset,Windows 10 Pro Operating System
,Declined,,EXP00000408,2023-12-07 12:02:00,Travel,Travel expense asset generation,Flight Ticket LAX to NYC
,Processed,SDA-57161321,EXP00000409,2023-10-08 03:06:00,Assets,Configured new asset in inventory,Dell Latitude E7470
,Processed,VAB-01643151,EXP00000410,2023-11-18 14:32:00,Assets,HP ProDesk 600 G3 Desktop Mini PC - Acquisition,HP ProDesk 600 G3
,Processed,,EXP00000411,2024-01-31 10:02:00,Miscellaneous,Miscellaneous hardware asset generated,MultiUse Projector 5000
,Processed,NWI-13047588,EXP00000412,2023-12-14 21:59:00,Services,Automatically managed service asset,Web Server Apache
,Declined,,EXP00000413,2023-08-18 15:03:00,Travel,Automatically generated asset for travel purposes,Dell Latitude 7410
,Processed,,EXP00000414,2023-02-03 07:42:00,Travel,Travel-related hardware asset,Dell Latitude 7490
,Processed,PSD-44919554,EXP00000415,2023-06-14 00:13:00,Assets,Dell Inspiron Laptop Asset,Dell Inspiron 3583-FLB2G1
,Processed,,EXP00000416,2023-11-30 07:46:00,Travel,Travel-related asset procurement,Travel Adapter Kit
,Pending,MHZ-16212272,EXP00000417,2023-11-06 20:11:00,Services,Generated service for asset provisioning,Cloud Server Service
,Processed,,EXP00000418,2024-03-11 19:49:00,Travel,Travel related asset registration,Portable GPS Navigator
,Pending,,EXP00000419,2023-04-30 02:25:00,Miscellaneous,Purchase of miscellaneous hardware assets,Dell Inspiron 7000
,Processed,SEP-73720469,EXP00000420,2023-07-21 19:07:00,Assets,Deployment of new asset in finance department,Dell OptiPlex 3070
,Processed,XFK-07929940,EXP00000421,2023-04-21 14:23:00,Assets,Automatically registered hardware asset,Dell OptiPlex 7080 Micro Desktop
,Processed,SHR-76849532,EXP00000422,2024-03-03 14:07:00,Assets,Hardware asset registration process - Dell Optiplex 7800,Dell Optiplex 7800
,Processed,WFQ-61521412,EXP00000423,2023-06-20 03:07:00,Assets,Configuration Item addition for new hardware asset,Dell Latitude 5520 Laptop
,Processed,WVB-26997179,EXP00000424,2023-02-02 15:39:00,Services,ServiceNow Cloud Services - Subscription,AWS Cloud Subscription 102A
,Pending,,EXP00000425,2023-11-10 02:35:00,Miscellaneous,Automatically added item for Husking Miscellaneous Material Count,Toolset - Miscellaneous Craft
,Processed,,EXP00000426,2024-04-23 05:56:00,Miscellaneous,Randomly generated hardware item for Miscellaneous category,HP EliteDesk 800 G4
,Processed,JUG-08274458,EXP00000427,2023-11-01 11:02:00,Assets,New asset acquisition for IT department,Dell Latitude 7490
,Processed,,EXP00000428,2024-01-26 02:53:00,Travel,Travel equipment asset,Travelmate P2 Notebook
,Declined,VVU-58891873,EXP00000429,2023-04-17 03:59:00,Services,Services related hardware asset,Cisco Managed Switch
,Processed,LKE-11552550,EXP00000430,2023-10-31 04:54:00,Services,Automated service record for creation of asset,Web Development Service
,Processed,GES-45104173,EXP00000431,2024-04-04 10:21:00,Assets,Hardware asset added to inventory,Dell Latitude 7510
,Processed,MGL-02434952,EXP00000432,2024-02-28 22:50:00,Services,Configuration of service-oriented assets,Network Services
,Submitted,QVG-08079422,EXP00000433,2023-12-18 08:01:00,Assets,Asset Management: Dell PowerEdge Server,ITC12345-DellPowerEdge
,Submitted,NAJ-65453550,EXP00000434,2023-11-15 21:15:00,Services,Automatically generated service asset,Cloud Service 365
,Declined,,EXP00000435,2023-07-20 00:54:00,Travel,Purchase record for travel-related hardware asset,Travel Adapter Plug Universal
,Processed,BTM-29734290,EXP00000436,2023-04-23 13:59:00,Assets,Asset registered for IT hardware,Dell Latitude 7400
,Declined,JKG-42959537,EXP00000437,2023-07-21 20:52:00,Services,Automatically generated expense line for creation of asset service,Service - Financial Reporting
,Processed,DJE-98171907,EXP00000438,2024-03-24 15:07:00,Assets,Cisco Catalyst 3650 Series switch added to the network assets,Cisco Switch 3650-24
,Pending,,EXP00000439,2023-04-02 14:35:00,Miscellaneous,Configuration of assorted hardware,Hardware Asset - Miscellaneous
,Processed,JTB-92317677,EXP00000440,2023-02-20 08:27:00,Assets,Asset registration for new IT equipment,Dell Precision 5540 Laptop
,Processed,DDH-82499540,EXP00000441,2023-02-06 16:07:00,Assets,Automatically created record for new hardware asset,Dell Latitude 7400
,Processed,,EXP00000442,2024-03-22 02:35:00,Miscellaneous,Automatically generated expense line for creation of miscellaneous asset,Wireless Bluetooth Mouse
,Processed,AYZ-98897902,EXP00000443,2024-02-16 20:53:00,Services,Auto-generated expense for cloud services,AWS EC2 Instance
,Processed,YCX-97631514,EXP00000444,2023-12-16 17:58:00,Services,Services related asset registration,Cloud Storage Service
,Declined,,EXP00000445,2023-07-03 19:29:00,Travel,Automatically generated expense line for travel-related asset,Premium Business Travel Luggage
,Processed,,EXP00000446,2024-04-16 10:17:00,Miscellaneous,Miscellaneous hardware asset entry,HP EliteDesk 800 G1
,Processed,PAE-82400394,EXP00000447,2024-04-07 17:51:00,Assets,Automatically generated entry for new hardware asset,Dell Latitude E7450 Laptop
,Processed,JNH-18789726,EXP00000448,2023-10-29 08:49:00,Services,Services related hardware asset creation,Cisco 4451 Router
,Processed,,EXP00000449,2023-08-16 19:43:00,Miscellaneous,Miscellaneous hardware asset registration,Logitech USB Keyboard
,Processed,,EXP00000450,2024-04-14 00:21:00,Miscellaneous,Automatically generated entry for addition of asset,Miscellaneous Office Supply Item
,Processed,,EXP00000451,2024-04-06 22:07:00,Miscellaneous,Automatically created entry for Miscellaneous asset,Miscellaneous Item 123
,Processed,XYW-63265983,EXP00000452,2023-10-11 18:11:00,Assets,Dell Latitude 3400 Laptop added to company assets,Dell Latitude 3400
,Processed,,EXP00000453,2023-09-20 07:12:00,Travel,Travel equipment asset,Universal Travel Adapter
,Processed,,EXP00000454,2024-01-17 20:58:00,Travel,Travel related asset creation,Travel Bag 20
,Submitted,,EXP00000455,2023-03-06 04:10:00,Travel,Expense incurred for travel category,Business Class Flight Ticket
,Processed,JCB-12328665,EXP00000456,2023-03-16 15:59:00,Services,Provision of Office365 services,Microsoft Office365 Subscription
,Processed,PBN-44691349,EXP00000457,2023-12-20 06:16:00,Services,Automatically generated record for creation of IT service,Cloud Storage 100GB
,Processed,HVQ-31788401,EXP00000458,2023-08-11 03:49:00,Services,Services related hardware asset addition,Cisco Catalyst 9300 Series
